BinID,microform,watertable,rainfall,Date,PAR,TempStart,TempEnd,SurfacetempEnd.1,NEE,CH4flux,WT,NDVI,FWBI980,WI,CI,REI
4,hummock,low,average,8/6/2020,1775,26.6,24.6,38.9,-0.0913,0.26498588,21.1,0.689179265,1.069384329,0.989226332,0.728235501,0.451759296
5,hollow,high,drought,8/6/2020,1880,27.7,26.6,35,-1.545,0.684907319,4.425,0.842205556,1.439529643,1.35866964,0.701187935,0.742564109
6,hummock,low,average,8/6/2020,1024,28.2,28.7,NA,-0.6322,0.001202294,23.575,0.659930053,1.115357281,1.037211245,0.65547247,0.43391832
8,hollow,low,average,8/6/2020,1708,33,28,34.1,2.5804,0.004892917,20.25,0.232746476,0.991109821,0.913132625,0.295856174,0.091786521
9,hollow,high,average,8/6/2020,1650,30.2,29.3,39.4,-0.4838,0.986038967,4.825,0.570565053,1.22979079,1.12819197,0.498762281,0.416023857
10,hummock,low,drought,8/6/2020,1520,28.3,28.6,25.3,-0.5516,0.003101779,21.175,0.572088374,1.092752042,1.006260454,0.569760031,0.350323518
11,hollow,low,drought,8/6/2020,1395,27.9,27.7,23.9,1.8063,0.005619254,22.225,0.243171865,0.988700983,0.915117581,0.291359034,0.112999461
12,hummock,high,drought,8/6/2020,1480,28.1,28.1,24.1,-0.5,0.019753083,2.975,0.563205342,1.156925323,1.045367618,0.604262017,0.286566703
13,hollow,high,average,8/6/2020,1885,32.2,31.9,38,-1.016,1.893154671,4.575,0.887497794,1.488208872,1.467186524,0.88602389,0.794690136
15,hummock,high,average,8/6/2020,2098,33.6,33.8,40.9,0.229,0.240964654,3.125,0.703973351,1.196030366,1.082722881,0.661524975,0.520985512
16,hummock,high,average,8/6/2020,1484,28.2,29.2,23.7,-1.5837,0.036431085,3.225,0.862979053,1.501275886,1.43929755,0.785438528,0.753063189
19,hummock,low,drought,8/6/2020,1980,31.1,39.3,43.3,1.3579,-0.000147053,20.225,0.346038313,0.991852148,0.924259588,0.371270147,0.182742188
23,hummock,high,drought,8/6/2020,1498,29.3,29.3,33.3,-0.4838,0.030817235,3.15,0.783997149,1.310670346,1.218085299,0.813627659,0.590705832
25,hollow,low,drought,8/6/2020,1502,28.8,30.4,24.7,1.6869,0.060601675,17.5,0.238160166,0.998115728,0.913695965,0.300019707,0.097571927
27,hollow,high,drought,8/6/2020,1147,27.9,28.7,23.7,-1.0257,0.005374765,4.025,0.804955105,1.398711112,1.327106802,0.729269455,0.714642161
28,hummock,low,drought,8/6/2020,390,33.5,32.6,32.8,1.2773,-8.81E-05,23.975,0.487383803,0.957669751,0.853342159,0.520255913,0.216100314
30,hummock,high,average,8/6/2020,1547,32.8,42.4,36.1,-0.8064,0.943258613,3.95,0.757227291,1.270473187,1.193292574,0.752124556,0.546336932
31,hummock,high,drought,8/6/2020,1432,29.6,27.8,24.2,-2.303,0.047660018,4.625,0.748250686,1.173091242,1.055277246,0.823580325,0.499510628
32,hollow,low,drought,8/6/2020,1439,30.2,30.2,23.1,1.2837,0.007267322,20.175,0.239623547,0.990040849,0.919407395,0.312528871,0.102953832
34,hollow,low,drought,8/6/2020,1777,31.1,34.2,42.8,1.9192,0.002219259,21.925,0.448611283,0.989336526,0.940512918,0.468796258,0.26525129
35,hummock,low,average,8/6/2020,927,28.7,28.7,23.6,-0.8902,0.000904082,24.325,0.659182571,1.174293945,1.090489008,0.649317409,0.432875553
37,hollow,high,drought,8/6/2020,1892,32.1,36.5,37,-1.1321,0.113928868,4.975,0.849821519,1.437430626,1.398008344,0.737077715,0.751719095
38,hollow,high,drought,8/6/2020,1862,35.7,33.3,27.5,-1.2321,0.051774065,4.8,0.677300066,1.35155093,1.287543422,0.563555769,0.546278433
39,hollow,low,average,8/6/2020,1121,26.3,27.9,24.1,1.5257,0.006351221,21.175,0.372937119,0.96816782,0.902748293,0.410698139,0.187381791
40,hummock,low,average,8/6/2020,1857,32.8,31.9,38.8,-2.5739,0.073639034,23,0.777390339,1.095490285,1.013250389,0.80912933,0.545065774
41,hollow,low,average,8/6/2020,1216,28.4,28.2,21.7,-1.3483,0.00687268,22.1,0.799795755,1.502495295,1.421759216,0.644213553,0.70391608
42,hollow,low,average,8/6/2020,1608,27.3,31.1,38.8,1.1579,0.008329881,21.5,0.49513027,1.004310264,0.924887968,0.453343824,0.328733425
43,hummock,high,drought,8/6/2020,1898,37.1,36.3,31.3,-3.1287,0.018003202,2.85,0.67683661,1.205233649,1.128948106,0.726307629,0.425581754
44,hollow,high,average,8/6/2020,1499,28.6,29.6,25.2,-0.238,0.854556289,2.45,0.882397124,1.519522082,1.429704178,0.831079879,0.791336067
46,hollow,high,average,8/6/2020,1455,28.6,29.9,23.6,-1.3483,0.400724417,4.65,0.769942953,1.43164882,1.366867282,0.628015568,0.645576955
47,hummock,high,average,8/6/2020,944,28.2,28.4,21.4,-1.5773,0.014935662,4.925,0.86489216,1.403654543,1.340509336,0.825946115,0.73665981
50,hummock,low,drought,8/6/2020,1017,29.2,29.2,22.6,-0.5258,0.000462421,22.625,0.714509987,1.133879354,1.04653518,0.752387344,0.47026549
4,hummock,low,average,8/7/2020,1664,32.1,31.6,35.5,-0.389,0.060394021,21.1,0.655959215,1.073166531,0.972006738,0.673149788,0.414178719
5,hollow,high,drought,8/7/2020,1849,31.3,32.3,38.2,-1.04,0.090232457,4.425,0.848085154,1.453037409,1.378767161,0.692197836,0.755034197
6,hummock,low,average,8/7/2020,309,30.7,31.2,26.9,0.214,0.050681322,23.575,0.744369275,1.193475118,1.09497747,0.739259818,0.53144613
8,hollow,low,average,8/7/2020,1524,33,31.8,41.4,3.94,0.010613866,20.25,0.291844297,1.092111911,1.02799404,0.328987602,0.125088591
9,hollow,high,average,8/7/2020,1210,30.4,29.2,34.7,-1.6353,0.247127561,4.825,0.643942663,1.291516696,1.168531352,0.545828669,0.497336444
10,hummock,low,drought,8/7/2020,1686,31.3,30.6,40.4,0.4548,-0.001113459,21.175,0.520905303,1.043885738,0.951188201,0.535555863,0.280955986
11,hollow,low,drought,8/7/2020,1345,31.1,32.1,29.7,1.79,0.000769761,22.225,0.210453646,0.985929363,0.941881903,0.263306348,0.086553271
12,hummock,high,drought,8/7/2020,460,34.2,33,34.2,0.64,0.021819306,2.975,0.64663019,1.166668076,1.059478699,0.666896676,0.374990828
