Bin,Date,week,Watered,L...or...D,TempStart,TempEnd,SurfacetempEnd,Reco,CH4.flux,Date.1,Time..to.seconds..1,L...or...D.1,PAR.1,TempStart.1,TempEnd.1,SurfacetempEnd.1,NEE,CH4.flux.1,GPP,sphagnum,watertable,rainfall,height,dheight,dvolume,GPP2,Reco2,NEE2,CH4.fluxlight,CH4.fluxave,depth,bin,NDVI,FWBI980,WI,CI,REI
4,8/6/2020,5,U,D,33.7,32.2,27.9,3.0868,0.326,8/6/2020,13:35:25,L,1775,26.6,24.6,38.9,-0.0913,0.0448,3.1781,hummock,low,average,-5.1,-3.9,0.812840124,2.583287198,2.509074894,-0.074212303,0.26498588,0.26498588,21.1,4,0.689179265,1.069384329,0.989226332,0.728235501,0.451759296
5,8/6/2020,5,U,D,31.6,33.1,28,2.4901,0.797,8/6/2020,13:32:19,L,1880,27.7,26.6,35,-1.545,0.0848,4.0351,hollow,high,drought,-3.625,-0.575,0.859356736,3.467590366,2.139884209,-1.327706157,0.684907319,0.684907319,4.425,5,0.842205556,1.439529643,1.35866964,0.701187935,0.742564109
6,8/6/2020,5,U,D,27,27.9,26,2.0256,0.0013,8/6/2020,10:09:09,L,1024,28.2,28.7,NA,-0.6322,0.001,2.6578,hummock,low,average,-1.8,-1.425,0.924841636,2.4580441,1.873359218,-0.584684882,0.001202294,0.001202294,23.575,6,0.659930053,1.115357281,1.037211245,0.65547247,0.43391832
8,8/6/2020,5,U,D,27.1,31.1,28,2.9578,0.0065,8/6/2020,13:29:20,L,1708,33,28,34.1,2.5804,0.0039,0.3774,hollow,low,average,-7.275,-4.75,0.752756471,0.284090292,2.226503089,1.942412797,0.004892917,0.004892917,20.25,8,0.232746476,0.991109821,0.913132625,0.295856174,0.091786521
9,8/6/2020,5,U,D,29.3,29.1,26.4,3.26,1.0773,8/6/2020,12:22:57,L,1650,30.2,29.3,39.4,-0.4838,0.5483,3.7438,hollow,high,average,-2.05,-0.175,0.915287262,3.426652451,2.983836474,-0.442815977,0.986038967,0.986038967,4.825,9,0.570565053,1.22979079,1.12819197,0.498762281,0.416023857
10,8/6/2020,5,U,D,29.9,29.1,31.8,3.1739,0.0039,8/6/2020,12:10:33,L,1520,28.3,28.6,25.3,-0.5516,5.00E-04,3.7254,hummock,low,drought,-5.7,-3.825,0.79532795,2.962914744,2.52429138,-0.438702897,0.003101779,0.003101779,21.175,10,0.572088374,1.092752042,1.006260454,0.569760031,0.350323518
11,8/6/2020,5,U,D,28.1,29.6,23.7,2.1578,0.0073,8/6/2020,11:17:32,L,1395,27.9,27.7,23.9,1.8063,0.0015,0.3516,hollow,low,drought,-6.625,-2.775,0.769760863,0.270647919,1.66098999,1.390419047,0.005619254,0.005619254,22.225,11,0.243171865,0.988700983,0.915117581,0.291359034,0.112999461
12,8/6/2020,5,U,D,29.6,30.2,24.1,1.9837,0.0239,8/6/2020,11:55:06,L,1480,28.1,28.1,24.1,-0.5,0.0244,2.4836,hummock,high,drought,-4.65,-2.025,0.826488849,2.052667705,1.63950593,-0.413244424,0.019753083,0.019753083,2.975,12,0.563205342,1.156925323,1.045367618,0.604262017,0.286566703
13,8/6/2020,5,U,D,38.1,36.3,34,2.9674,2.25,8/6/2020,13:54:08,L,1885,32.2,31.9,38,-1.016,0.487,3.9835,hollow,high,average,-4.175,-0.425,0.841402076,3.351725169,2.49677652,-0.854864509,1.893154671,1.893154671,4.575,13,0.887497794,1.488208872,1.467186524,0.88602389,0.794690136
15,8/6/2020,5,U,D,29.6,29.9,23.8,4.13,0.294,8/6/2020,15:13:32,L,2098,33.6,33.8,40.9,0.229,0.464,3.901,hummock,high,average,-4.875,-1.875,0.819607668,3.197289513,3.384979669,0.187690156,0.240964654,0.240964654,3.125,15,0.703973351,1.196030366,1.082722881,0.661524975,0.520985512
